interactorA,interactorB,interactorAType,interactorBType,layer,interactionType
potei,dkk1,human,human,2,human-human
potei,slc25a11,human,human,2,human-human
potei,tex264,human,human,2,human-human
potei,cep43,human,human,2,human-human
potei,dtna,human,human,2,human-human
potei,hsd17b3,human,human,2,human-human
potei,cyp51a1,human,human,2,human-human
potei,c20orf203,human,human,2,human-human
potei,cdkl4,human,human,2,human-human
potei,phactr2,human,human,2,human-human
potei,tmod3,human,human,2,human-human
potei,rnase3,human,human,2,human-human
potei,nus1,human,human,2,human-human
potei,il1rl2,human,human,2,human-human
potei,ndufa4l2,human,human,2,human-human
potei,cap2,human,human,2,human-human
potei,cap1,human,human,2,human-human
potei,myo6,human,human,2,human-human
potei,polh,human,human,2,human-human
potei,gc,human,human,2,human-human
potei,marchf9,human,human,2,human-human
potei,pigo,human,human,2,human-human
potei,afm,human,human,2,human-human
potei,fignl1,human,human,2,human-human
potei,ccdc22,human,human,2,human-human
potei,epb41l2,human,human,2,human-human
potei,ggt5,human,human,2,human-human
potei,ccdc40,human,human,2,human-human
potei,hadhb,human,human,2,human-human
potei,ikzf1,human,human,2,human-human
potei,dusp23,human,human,2,human-human
potei,hexim1,human,human,2,human-human
potei,mepce,human,human,2,human-human
potei,larp7,human,human,2,human-human
potei,actc1,human,human,2,human-human
potei,usp14,human,human,2,human-human
potei,brf1,human,human,2,human-human
potei,yap1,human,human,2,human-human
potei,tfcp2,human,human,2,human-human
potei,htra2,human,human,2,human-human
angptl4,smarca4,human,human,2,human-human
angptl4,actb,human,human,2,human-human
angptl4,kat5,human,human,2,human-human
angptl4,myc,human,human,2,human-human
angptl4,aurka,human,human,2,human-human
angptl4,brms1,human,human,2,human-human
angptl4,casp8,human,human,2,human-human
angptl4,cdkn2c,human,human,2,human-human
angptl4,esr1,human,human,2,human-human
angptl4,fbxw7,human,human,2,human-human
angptl4,fgfr4,human,human,2,human-human
angptl4,tgfb1,human,human,2,human-human
angptl4,wdr47,human,human,2,human-human
angptl4,nmt2,human,human,2,human-human
angptl4,pm20d2,human,human,2,human-human
angptl4,nmt1,human,human,2,human-human
angptl4,itih2,human,human,2,human-human
angptl4,armc8,human,human,2,human-human
angptl4,dnajb4,human,human,2,human-human
angptl4,cdca5,human,human,2,human-human
trappc4,prss23,human,human,2,human-human
trappc4,trappc2,human,human,2,human-human
trappc4,trappc3l,human,human,2,human-human
trappc4,trappc8,human,human,2,human-human
trappc4,trappc9,human,human,2,human-human
trappc4,trappc10,human,human,2,human-human
trappc4,trappc11,human,human,2,human-human
trappc4,trappc12,human,human,2,human-human
trappc4,trappc2l,human,human,2,human-human
trappc4,app,human,human,2,human-human
trappc4,tfip11,human,human,2,human-human
trappc4,bcl2l14,human,human,2,human-human
trappc4,cabs1,human,human,2,human-human
trappc4,trappc3,human,human,2,human-human
trappc4,phpt1,human,human,2,human-human
trappc4,pnp,human,human,2,human-human
trappc4,serpinb1,human,human,2,human-human
trappc4,ugdh,human,human,2,human-human
trappc4,trappc6b,human,human,2,human-human
trappc4,trappc1,human,human,2,human-human
trappc4,trappc5,human,human,2,human-human
trappc4,stmn4,human,human,2,human-human
trappc4,kank4,human,human,2,human-human
trappc4,tbc1d14,human,human,2,human-human
trappc4,glb1,human,human,2,human-human
trappc4,gramd1b,human,human,2,human-human
trappc4,ccdc102b,human,human,2,human-human
trappc4,gata2,human,human,2,human-human
trappc4,intu,human,human,2,human-human
trappc4,rab30,human,human,2,human-human
trappc4,btbd1,human,human,2,human-human
trappc4,cnn2,human,human,2,human-human
trappc4,aarsd1,human,human,2,human-human
trappc4,rab3ip,human,human,2,human-human
trappc4,tmem102,human,human,2,human-human
trappc4,mb21d2,human,human,2,human-human
trappc4,pdlim7,human,human,2,human-human
trappc4,rab3il1,human,human,2,human-human
trappc4,recql4,human,human,2,human-human
trappc4,tgoln2,human,human,2,human-human
trappc4,atrx,human,human,2,human-human
trappc4,kif14,human,human,2,human-human
phpt1,dnmt3l,human,human,2,human-human
phpt1,ppp1r16a,human,human,2,human-human
phpt1,tinf2,human,human,2,human-human
phpt1,atxn1,human,human,2,human-human
phpt1,atxn1l,human,human,2,human-human
phpt1,igbp1,human,human,2,human-human
phpt1,ptms,human,human,2,human-human
phpt1,psme1,human,human,2,human-human
phpt1,ranbp3,human,human,2,human-human
phpt1,zpr1,human,human,2,human-human
phpt1,gdpgp1,human,human,2,human-human
phpt1,impa1,human,human,2,human-human
phpt1,nudt9,human,human,2,human-human
phpt1,plpbp,human,human,2,human-human
phpt1,rab1a,human,human,2,human-human
phpt1,rbks,human,human,2,human-human
phpt1,ptpa,human,human,2,human-human
phpt1,trappc4,human,human,2,human-human
phpt1,gtf2e2,human,human,2,human-human
phpt1,ubc,human,human,2,human-human
phpt1,tpm4,human,human,2,human-human
phpt1,rab11fip5,human,human,2,human-human
phpt1,apex1,human,human,2,human-human
phpt1,c5orf51,human,human,2,human-human
phpt1,lrrc1,human,human,2,human-human
phpt1,mapk1,human,human,2,human-human
phpt1,paics,human,human,2,human-human
phpt1,pls3,human,human,2,human-human
phpt1,ppef1,human,human,2,human-human
phpt1,prdx4,human,human,2,human-human
phpt1,prkaa1,human,human,2,human-human
phpt1,rad23b,human,human,2,human-human
phpt1,lrrk2,human,human,2,human-human
phpt1,erbb3,human,human,2,human-human
phpt1,ins,human,human,2,human-human
phpt1,cdc42,human,human,2,human-human
stbd1,gabarap,human,human,3,human-human
stbd1,gabarapl1,human,human,3,human-human
stbd1,gabarapl2,human,human,3,human-human
stbd1,kash5,human,human,3,human-human
stbd1,mov10,human,human,3,human-human
stbd1,ppp1r3c,human,human,3,human-human
stbd1,gyg1,human,human,3,human-human
stbd1,gys2,human,human,3,human-human
stbd1,gys1,human,human,3,human-human
stbd1,pygb,human,human,3,human-human
stbd1,mid1,human,human,3,human-human
stbd1,wdfy1,human,human,3,human-human
stbd1,gyg2,human,human,3,human-human
stbd1,col4a2,human,human,3,human-human
stbd1,ppp1r3d,human,human,3,human-human
stbd1,prkab2,human,human,3,human-human
stbd1,gbe1,human,human,3,human-human
stbd1,klrg2,human,human,3,human-human
stbd1,agl,human,human,3,human-human
stbd1,mepce,human,human,3,human-human
stbd1,canx,human,human,3,human-human
stbd1,lamp1,human,human,3,human-human
stbd1,tomm22,human,human,3,human-human
stbd1,ptrh2,human,human,3,human-human
stbd1,rhbdd1,human,human,3,human-human
stbd1,rhbdf2,human,human,3,human-human
stbd1,otulinl,human,human,3,human-human
stbd1,st7,human,human,3,human-human
stbd1,fis1,human,human,3,human-human
stbd1,fkbp8,human,human,3,human-human
stbd1,marchf5,human,human,3,human-human
stbd1,mtch2,human,human,3,human-human
