interactorA,interactorB,interactorAType,interactorBType,layer,interactionType
wdr47,rhex,human,human,3,human-human
wdr47,cdk11a,human,human,3,human-human
wdr47,tcf4,human,human,3,human-human
wdr47,usp21,human,human,3,human-human
wdr47,angptl4,human,human,3,human-human
wdr47,tex45,human,human,3,human-human
wdr47,plb1,human,human,3,human-human
wdr47,cobl,human,human,3,human-human
wdr47,poc1b,human,human,3,human-human
wdr47,fam163a,human,human,3,human-human
wdr47,vwa2,human,human,3,human-human
wdr47,rhpn1,human,human,3,human-human
wdr47,myc,human,human,3,human-human
wdr47,virma,human,human,3,human-human
wdr47,kras,human,human,3,human-human
wdr47,dyrk1a,human,human,3,human-human
wdr47,ago2,human,human,3,human-human
nhlrc1,agl,human,human,3,human-human
nhlrc1,gys1,human,human,3,human-human
nhlrc1,ppp1r3c,human,human,3,human-human
nhlrc1,dvl2,human,human,3,human-human
nhlrc1,nnat,human,human,3,human-human
nhlrc1,stub1,human,human,3,human-human
nhlrc1,hspa4,human,human,3,human-human
nhlrc1,prdm8,human,human,3,human-human
nhlrc1,ube2d3,human,human,3,human-human
nhlrc1,hsp90aa1,human,human,3,human-human
nhlrc1,ube2h,human,human,3,human-human
nhlrc1,ube2d1,human,human,3,human-human
nhlrc1,ube2e1,human,human,3,human-human
nhlrc1,ube2n,human,human,3,human-human
gyg1,gys1,human,human,3,human-human
gyg1,pom121,human,human,3,human-human
gyg1,trim7,human,human,3,human-human
gyg1,gyg2,human,human,3,human-human
gyg1,prkaa2,human,human,3,human-human
gyg1,prkab2,human,human,3,human-human
gyg1,cd6,human,human,3,human-human
gyg1,cmss1,human,human,3,human-human
gyg1,ppp1r3b,human,human,3,human-human
gyg1,ppp1r3c,human,human,3,human-human
gyg1,ppp1ca,human,human,3,human-human
gyg1,stbd1,human,human,3,human-human
gyg1,zfp41,human,human,3,human-human
gyg1,esd,human,human,3,human-human
gyg1,ggt1,human,human,3,human-human
gyg1,got2,human,human,3,human-human
gyg1,pgm5,human,human,3,human-human
gyg1,xpo1,human,human,3,human-human
gyg1,gbe1,human,human,3,human-human
gyg1,recql4,human,human,3,human-human
gyg1,c1qtnf9,human,human,3,human-human
ppp1r3d,sfn,human,human,3,human-human
