interactorA,interactorB,interactorAType,interactorBType,layer,interactionType
ephb6,obsl1,human,human,3,human-human
dlx2,xrcc6,human,human,3,human-human
dlx2,msx1,human,human,3,human-human
dlx2,msx2,human,human,3,human-human
dlx2,dlx5,human,human,3,human-human
dlx2,hoxc8,human,human,3,human-human
dlx2,pik3r1,human,human,3,human-human
dlx2,avp,human,human,3,human-human
dlx2,tspoap1,human,human,3,human-human
dlx2,dgcr6,human,human,3,human-human
dlx2,mvp,human,human,3,human-human
dlx2,prkn,human,human,3,human-human
dlx2,grn,human,human,3,human-human
wdr47,tcea2,human,human,3,human-human
wdr47,tcl1a,human,human,3,human-human
wdr47,ids,human,human,3,human-human
wdr47,rhex,human,human,3,human-human
wdr47,cdk11a,human,human,3,human-human
wdr47,tcf4,human,human,3,human-human
wdr47,usp21,human,human,3,human-human
wdr47,angptl4,human,human,3,human-human
wdr47,tex45,human,human,3,human-human
wdr47,plb1,human,human,3,human-human
wdr47,cobl,human,human,3,human-human
wdr47,poc1b,human,human,3,human-human
wdr47,fam163a,human,human,3,human-human
wdr47,vwa2,human,human,3,human-human
wdr47,rhpn1,human,human,3,human-human
wdr47,myc,human,human,3,human-human
wdr47,virma,human,human,3,human-human
wdr47,kras,human,human,3,human-human
wdr47,dyrk1a,human,human,3,human-human
wdr47,ago2,human,human,3,human-human
rapgef4,abcc8,human,human,3,human-human
rapgef4,rims2,human,human,3,human-human
rapgef4,rap2a,human,human,3,human-human
rapgef4,rap1a,human,human,3,human-human
rapgef4,atxn1,human,human,3,human-human
rapgef4,tspoap1,human,human,3,human-human
rapgef4,swap70,human,human,3,human-human
rapgef4,traf2,human,human,3,human-human
rapgef4,zc3h11a,human,human,3,human-human
rapgef4,bmerb1,human,human,3,human-human
rapgef4,fbxl13,human,human,3,human-human
rapgef4,lrrk2,human,human,3,human-human
rapgef4,mettl3,human,human,3,human-human
rapgef4,psmd14,human,human,3,human-human
rapgef4,def6,human,human,3,human-human
rapgef4,magt1,human,human,3,human-human
bend5,grap2,human,human,3,human-human
bend5,usp2,human,human,3,human-human
bend5,ctnnbip1,human,human,3,human-human
bend5,gfi1b,human,human,3,human-human
bend5,usp7,human,human,3,human-human
bend5,app,human,human,3,human-human
bend5,tspoap1,human,human,3,human-human
bend5,prkab2,human,human,3,human-human
bend5,ube2i,human,human,3,human-human
bend5,eif3d,human,human,3,human-human
bend5,bud31,human,human,3,human-human
bend5,usp20,human,human,3,human-human
bend5,gorasp2,human,human,3,human-human
bend5,fam161a,human,human,3,human-human
bend5,vps25,human,human,3,human-human
bend5,zgpat,human,human,3,human-human
bend5,znf417,human,human,3,human-human
bend5,rtp5,human,human,3,human-human
bend5,lce1b,human,human,3,human-human
bend5,pimreg,human,human,3,human-human
bend5,znf688,human,human,3,human-human
bend5,lmo3,human,human,3,human-human
bend5,smarcd1,human,human,3,human-human
bend5,ptgr2,human,human,3,human-human
bend5,ntaq1,human,human,3,human-human
bend5,erbb3,human,human,3,human-human
fgg,fga,human,human,3,human-human
fgg,fgb,human,human,3,human-human
fgg,f13b,human,human,3,human-human
fgg,khdrbs2,human,human,3,human-human
fgg,vkorc1,human,human,3,human-human
fgg,fn1,human,human,3,human-human
