name,majority.protein.x,uniprot.x,species.x,gene.x,uniprot.y,majority.protein.y,species.y,gene.y,CoV.D1.1,CoV.D1.2,CoV.D1.3,CoV.D2.1,CoV.D2.2,CoV.D2.3,Mock1,Mock2,Mock3,ZV1,ZV2,ZV3,DV1,DV2,DV3,FlaviC1,FlaviC2,FlaviC3,rhinovirus,rhino.ctrl,V.Day1.1,V.Day1.2,V.Day1.3,V.Day2.1,V.Day2.2,V.Day2.3,V.Mock1,V.Mock2,V.Mock3,huhcov.d1.enrich.1,huhcov.d1.enrich.2,huhcov.d1.enrich.3,huhcov.d2.enrich.1,huhcov.d2.enrich.2,huhcov.d2.enrich.3,zika.enrich.1,zika.enrich.2,zika.enrich.3,deng.enrich.1,deng.enrich.2,deng.enrich.3,rv.enrich.1,huhcov.d2.enrich.mean,huhcov.d1.enrich.mean,zika.enrich.mean,deng.enrich.mean,vero.d1.enrich.1,vero.d1.enrich.2,vero.d1.enrich.3,vero.d2.enrich.1,vero.d2.enrich.2,vero.d2.enrich.3,vero.d2.enrich.mean,vero.d1.enrich.mean,huh_d2,huh_d1,vero_d2,vero_d1,zika,deng,human_d1d2,monkey_d1d2,sars_sig,huhd1_expanded,huhd2_expanded,verod1_expanded,verod2_expanded,huh_expanded,vero_expanded,sars_expanded,zika_expanded,deng_expanded,rv_expanded,mito,rapms,PPI,vero_crispr_z,vero_crispr_fdr
RPS14,sp|P62263|RS14_HUMAN,RS14_HUMAN,HUMAN,RPS14 PRO2640,A0A0D9RGJ5_CHLSB,tr|A0A0D9RGJ5|A0A0D9RGJ5_CHLSB,CHLSB,RPS14,19.18862748,19.35827345,19.05276968,20.99886309,18.25736943,18.71085351,14.55567406,14.881061,13.74378474,20.60630038,20.23069598,20.65909699,20.86393216,21.30150959,20.55917541,13.18473462,13.80371484,12.06958966,19.99824333,18.02842411,15.8754134,14.69707616,15.20956759,15.7055244,12.6021885,14.32678057,12.44378826,16.68304943,16.16884837,4.795120878,4.964766847,4.659263085,6.605356491,3.863862826,4.317346908,7.586954004,7.211349603,7.639750619,7.844585786,8.282163217,7.539829033,1.969819219,4.928855409,4.806383604,7.479351409,7.888859345,0.7768513796,-0.4014858616,0.1110055743,0.6069623767,-2.496373524,-0.7717814529,-0.8870642,0.1621236974,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,-0.734511008,0.999999945
RPS15,sp|P62841|RS15_HUMAN,RS15_HUMAN,HUMAN,RPS15 RIG,NA,NA,NA,NA,15.25624485,15.79340431,15.46191653,15.86459904,13.69873218,14.8355211,15.41527818,13.50228436,14.57063395,17.1155314,18.60927976,16.36091565,16.44969678,16.02995579,17.61827078,15.59090126,15.0095348,13.88187996,14.20092531,14.82555994,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7601793576,1.297338813,0.9658510321,1.368533544,-0.7973333124,0.3394556095,2.288092733,3.781841084,1.53347698,1.622258104,1.202517114,2.790832108,-0.6246346297,0.3035519469,1.007789734,2.534470266,1.871869109,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.900585116,0.977523772
RPS15A,sp|P62244|RS15A_HUMAN,RS15A_HUMAN,HUMAN,RPS15A OK/SW-cl.82,NA,NA,NA,NA,14.61915947,15.60782351,14.85920193,17.6926836,13.94023674,16.31410524,14.98464232,15.59824508,18.20600319,18.88178314,18.92853572,18.56446957,20.11006014,19.68618247,19.46445402,15.51130798,13.24775558,15.55925059,19.54560932,18.52997189,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.643804059,-0.6551400232,-1.403761605,1.429720071,-2.322726792,0.05114170824,4.109011753,4.155764341,3.791698187,5.337288754,4.913411084,4.691682632,1.015637429,-0.2806216709,-1.234235229,4.01882476,4.980794157,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA
RPS16,sp|P62249|RS16_HUMAN,RS16_HUMAN,HUMAN,RPS16,A0A0D9QV09_CHLSB,tr|A0A0D9QV09|A0A0D9QV09_CHLSB,CHLSB,RPS16,20.0719546,16.90090308,19.58539904,21.65399088,18.70927232,19.86237402,18.90239278,18.93594771,19.13671081,21.37925355,21.09074563,21.14979177,21.31185473,21.46328688,21.31196556,14.74196887,15.09705695,14.96809263,21.08796519,17.91730214,11.44071636,14.95660304,15.98432944,9.567686467,12.06598825,15.46058388,10.87763935,16.2826179,10.95809547,1.080270835,-2.09078069,0.5937152747,2.662307108,-0.2824114422,0.8706902528,6.443547401,6.155039481,6.214085617,6.376148576,6.527580729,6.376259411,3.170663042,1.08352864,-0.1389315269,6.270890833,6.426662906,-1.265401207,2.250485463,3.278211873,-3.138431105,-0.6401293197,2.754466308,-0.3413647055,1.42109871,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-0.186694409,0.999999945
RPS17,sp|P08708|RS17_HUMAN,RS17_HUMAN,HUMAN,RPS17 RPS17L,NA,NA,NA,NA,12.91226762,20.08783573,21.90024918,21.83144024,20.81878187,21.34635357,13.05859241,14.74162094,13.62036231,23.17327149,22.64919565,23.23902624,22.33644445,22.39141982,22.25329467,14.79093719,14.85332212,12.80236004,22.14774403,22.50336671,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8945909325,6.280977178,8.09339063,8.024581684,7.011923318,7.53949502,9.024398376,8.500322529,9.090153124,8.187571334,8.242546704,8.104421557,-0.3556226851,7.525333341,4.493258958,8.871624676,8.178179865,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.831009443,0.999999945
RPS18,sp|P62269|RS18_HUMAN,RS18_HUMAN,HUMAN,RPS18 D6S218E,NA,NA,NA,NA,16.80813463,18.36981883,19.32518246,20.94520948,17.11156362,21.21702997,13.55379473,16.78596325,16.89012175,21.80801676,21.63156431,22.17718592,21.83109226,22.04846559,22.71343183,15.00720251,14.55206865,14.92773167,20.78588345,17.34559583,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.064841387,2.62652559,3.581889219,5.201916239,1.36827038,5.473736733,6.979015811,6.802563368,7.348184977,7.002091316,7.219464643,7.884430882,3.440287621,4.014641117,2.424418732,7.043254719,7.36866228,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-0.56124811,0.999999945
RPS19,sp|P39019|RS19_HUMAN,RS19_HUMAN,HUMAN,RPS19,A0A0D9S109_CHLSB,tr|A0A0D9S109|A0A0D9S109_CHLSB,CHLSB,RPS19,13.6024944,16.52659093,18.51960554,19.41759296,17.48093217,20.37007435,14.15056855,14.68755978,13.51338919,21.32920727,20.78444634,20.81103909,21.20705246,21.09294034,20.9921694,14.95417371,14.94043735,14.51717413,20.45090918,18.27143567,11.36758663,13.02818235,13.97719047,10.52787722,12.20065274,14.26480909,11.30274408,15.34328983,14.76419776,-0.5146781061,2.409418427,4.402433035,5.300420455,3.363759661,6.252901843,6.525278871,5.980517946,6.007110697,6.403124065,6.289011939,6.188241002,2.179473506,4.972360653,2.099057786,6.170969172,6.293459002,-2.435823934,-0.775228211,0.1737799084,-3.275533343,-1.602757821,0.4613985326,-1.472297544,-1.012424079,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.022443156,0.999999945
RPS2,sp|P15880|RS2_HUMAN,RS2_HUMAN,HUMAN,RPS2 RPS4,NA,NA,NA,NA,19.20993402,18.17343315,19.27553346,21.94745859,19.32641193,21.66001157,16.32653482,15.83947446,18.24604469,22.63231899,22.43165675,22.44634731,22.91899859,22.67736523,23.01186807,15.97495227,14.43383785,15.76723325,22.70155183,16.3873274,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.405916028,1.369415163,2.471515472,5.143440597,2.52239394,4.855993575,7.240311197,7.039648954,7.054339521,7.526990797,7.285357436,7.619860281,6.314224433,4.173942704,2.082282221,7.111433224,7.477402838,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,-0.787679036,0.999999945
RPS20,sp|P60866|RS20_HUMAN,RS20_HUMAN,HUMAN,RPS20,A0A0D9RQ30_CHLSB,tr|A0A0D9RQ30|A0A0D9RQ30_CHLSB,CHLSB,RPS20,18.45157335,19.44752318,19.95247963,20.3727333,18.5758125,20.14432465,14.41300571,17.20971989,18.21447091,21.28280112,21.12943396,21.10865717,21.28093385,21.20943433,21.62787404,12.43723541,14.31309283,14.10078283,21.04793333,14.39337537,12.20586098,15.70214562,16.83269226,15.13258006,14.10631756,15.78246078,16.17654328,14.54996511,16.22787913,1.839174516,2.835124348,3.3400808,3.760334469,1.963413669,3.531925818,7.665764099,7.512396939,7.49162015,7.663896825,7.592397305,8.01083702,6.654557953,3.085224652,2.671459888,7.556593729,7.755710383,-3.445601531,0.05068311473,1.181229754,-0.5188824534,-1.545144946,0.1309982737,-0.6443430418,-0.7378962208,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.062547938,0.999999945
RPS21,sp|P63220|RS21_HUMAN,RS21_HUMAN,HUMAN,RPS21,A0A0D9RTZ1_CHLSB,tr|A0A0D9RTZ1|A0A0D9RTZ1_CHLSB,CHLSB,RPS21,15.33123093,15.91366154,13.88660639,14.34269974,15.81265365,15.32132963,14.86652838,14.07810951,15.80743214,18.7982313,19.31588367,18.96491051,18.97230673,18.99953764,18.45486956,15.63438566,14.56680908,12.52845283,16.56255548,17.07263508,11.49983191,11.89758079,12.79709406,10.97637978,10.52574936,11.83110928,12.49315844,12.59664152,11.90079989,0.4138742567,0.9963048614,-1.030750281,-0.574656938,0.8952969697,0.4039729563,4.55501544,5.072667816,4.721694655,4.729090872,4.756321778,4.211653704,-0.510079606,0.2415376627,0.1264762789,4.78312597,4.565688785,-0.8303680385,-0.4326191648,0.4668941111,-1.353820168,-1.804450592,-0.4990906758,-1.219120479,-0.2653643641,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.848812742,0.999999945
