8Hr gRNA (u),8Hr gRNA (s),24Hr gRNA (u),24Hr gRNA (s),8Hr SRNA (u),8Hr SRNA (s),24Hr SRNA (u),24Hr SRNA (s),8Hr ORF8 RNA (u),8Hr ORF8 RNA (s),24Hr ORF8 RNA (u),24Hr ORF8 RNA (s),8Hr NRNA (u),8Hr NRNA (s),24Hr NRNA (u),24Hr NRNA (s)
,,,,P11940,PABPC1,,,P15170,GSPT1,,,P82664,MRPS10,P11586,MTHFD1
,,,,Q8IWS0,PHF6,,,P40939,HADHA,,,P13591,NCAM1,Q14764,MVP
,,,,O43175,PHGDH,,,Q5SSJ5,HP1BP3,,,Q9Y2A7,NCKAP1,O00567,NOP56
,,,,Q86UU1,PHLDB1,,,P48735,IDH2,,,Q8WX92,NELFB,P52948,NUP98
,,,,P12273,PIP,,,Q9NVH2,INTS7,,,Q9H6R4,NOL6,P09874,PARP1
,,,,O75439,PMPCB,,,Q92945,KHSRP,,,Q14980,NUMA1,P30613,PKLR
,,,,P62333,PSMC6,,,Q03252,LMNB2,,,P09874,PARP1,Q9NQ55,PPAN
,,,,Q99460,PSMD1,,,P36776,LONP1,,,P61457,PCBD1,P48634,PRRC2A
,,,,O00232,PSMD12,,,Q8N1G4,LRRC47,,,O14737,PDCD5,Q9Y617,PSAT1
,,,,Q9UHX1,PUF60,,,Q9UDY8,MALT1,,,Q01813,PFKP,P28070,PSMB4
,,,,P46063,RECQL,,,Q14764,MVP,,,P30613,PKLR,Q16401,PSMD5
,,,,P35268,RPL22,,,Q9P2K5,MYEF2,,,P13797,PLS3,P63000,RAC1
,,,,P61254,RPL26,,,Q15746,MYLK,,,O75439,PMPCB,P13489,RNH1
,,,,P46776,RPL27A,,,P41227,NAA10,,,O15160,POLR1C,P62854,RPS26
,,,,P23921,RRM1,,,P13591,NCAM1,,,P30044,PRDX5,Q8NC51,SERBP1
,,,,O43818,RRP9,,,Q9BPX3,NCAPG,,,P31323,PRKAR2B,Q9UJS0,SLC25A13
,,,,P31949,S100A11,,,O95168,NDUFB4,,,Q13523,PRPF4B,O75643,SNRNP200
,,,,O15126,SCAMP1,,,Q9Y697,NFS1,,,P43686,PSMC4,Q9P2R7,SUCLA2
,,,,O00560,SDCBP,,,Q15155,NOMO1,,,P62333,PSMC6,O43617,TRAPPC3
,,,,O75396,SEC22B,,,P51003,PAPOLA,,,Q9UHX1,PUF60,Q8NI36,WDR36
,,,,Q9H9B4,SFXN1,,,Q96FC7,PHYHIPL,,,Q9UL25,RAB21,Q9Y5A9,YTHDF2
,,,,Q96L92,SNX27,,,P12273,PIP,,,P51148,RAB5C,,
,,,,Q8N5C6,SRBD1,,,P30613,PKLR,,,P51149,RAB7A,,
,,,,Q9NRL3,STRN4,,,Q99541,PLIN2,,,P51151,RAB9A,,
,,,,P22735,TGM1,,,Q13131,PRKAA1,,,Q96I25,RBM17,,
,,,,Q9NYL9,TMOD3,,,P60900,PSMA6,,,Q14498,RBM39,,
,,,,O14787,TNPO2,,,P43487,RANBP1,,,P35268,RPL22,,
,,,,Q9Y5L0,TNPO3,,,Q9NTZ6,RBM12,,,P62829,RPL23,,
,,,,P62987,UBA52,,,P49756,RBM25,,,P62888,RPL30,,
,,,,Q9Y3C8,UFC1,,,P38159,RBMX,,,P63173,RPL38,,
,,,,Q93008,USP9X,,,Q9Y256,RCE1,,,P31350,RRM2,,
,,,,O75691,UTP20,,,P62829,RPL23,,,Q9Y3A5,SBDS,,
,,,,Q9P0L0,VAPA,,,Q9Y3U8,RPL36,,,O15126,SCAMP1,,
,,,,Q709C8,VPS13C,,,P04844,RPN2,,,O75746,SLC25A12,,
,,,,Q9Y4E6,WDR7,,,P62277,RPS13,,,Q9UJS0,SLC25A13,,
,,,,O75312,ZPR1,,,Q9NTJ5,SACM1L,,,Q13247,SRSF6,,
,,,,,,,,Q15459,SF3A1,,,Q9NRL3,STRN4,,
,,,,,,,,Q9UBX3,SLC25A10,,,Q8TCJ2,STT3B,,
,,,,,,,,Q9UJS0,SLC25A13,,,P29401,TKT,,
,,,,,,,,Q9H2D1,SLC25A32,,,P49755,TMED10,,
,,,,,,,,Q9NWH9,SLTM,,,O96008,TOMM40,,
,,,,,,,,Q14683,SMC1A,,,Q13625,TP53BP2,,
,,,,,,,,Q96DI7,SNRNP40,,,P62987,UBA52,,
,,,,,,,,P04179,SOD2,,,Q8IWV7,UBR1,,
,,,,,,,,Q69YQ0,SPECC1L,,,P47985,UQCRFS1,,
,,,,,,,,P05455,SSB,,,Q8WU90,ZC3H15,,
,,,,,,,,P42224,STAT1,,,,,,
,,,,,,,,Q9Y5B9,SUPT16H,,,,,,
,,,,,,,,Q8WUY1,THEM6,,,,,,
,,,,,,,,Q9H330,TMEM245,,,,,,
,,,,,,,,Q96JJ7,TMX3,,,,,,
,,,,,,,,O96008,TOMM40,,,,,,
,,,,,,,,O94826,TOMM70,,,,,,
,,,,,,,,Q9Y4A5,TRRAP,,,,,,
,,,,,,,,O60701,UGDH,,,,,,
,,,,,,,,Q96T88,UHRF1,,,,,,
,,,,,,,,Q93008,USP9X,,,,,,
,,,,,,,,P45880,VDAC2,,,,,,
,,,,,,,,Q9Y277,VDAC3,,,,,,
,,,,,,,,Q9Y4E6,WDR7,,,,,,
,,,,,,,,P49750,YLPM1,,,,,,
